feature,importance
card_TTN_715,5.25366864240393e-05
card_VAC_408,5.186835740307833e-05
card_CORE_SCH_713,5.0669216266329164e-05
card_TIME_444,5.0478917626107255e-05
card_RLK_824,5.01023771099235e-05
card_TLC_107,4.6047855692264565e-05
card_CORE_EX1_014,4.3513574656965956e-05
card_WW_398,4.146054613988425e-05
class_name_DRUID,3.928518266824836e-05
card_CATA_720,3.813287660258192e-05
card_CORE_ULD_191,3.7567811194220264e-05
class_name_WARLOCK,3.526531153158486e-05
class_name_DEMONHUNTER,3.510718195084366e-05
card_VAC_956,3.1247549392861656e-05
card_RLK_951,2.883179016906389e-05
card_CORE_GIFT_01,2.8137803366899184e-05
card_EDR_469,2.483760252403405e-05
card_VAC_938,2.4086305044111376e-05
card_JAM_034,2.1851236442042152e-05
card_WC_030,2.1822481467733807e-05
card_TOY_000,2.1476966163152184e-05
card_WON_365,1.9308615077353533e-05
card_UNG_807,1.8668552204537262e-05
card_EDR_528,1.8336369327318906e-05
card_CORE_RLK_505,1.6686642146320407e-05
card_TTN_751,1.5102036508949286e-05
card_GDB_463,1.352246766996483e-05
card_GDB_120,1.3258057511711567e-05
card_EDR_540,9.667512913496282e-06
card_VAC_330,8.20493384855584e-06
card_EDR_523,8.16321278769097e-06
card_GDB_873,6.974546900550223e-06
card_EDR_800,6.298695931604112e-06
card_GDB_472,4.307777696996767e-06
card_MIS_101,3.997513314026196e-06
card_CORE_FP1_007,2.912766091530418e-06
card_VAC_460,2.3481012142443935e-06
card_TIME_711,1.5955733299933428e-06
card_DRG_056,1.4182689863286236e-06
card_SC_765,1.3785692874825595e-07
card_TLC_515,1.19996275387469e-07
card_DINO_407,5.745477239543715e-08
card_ETC_087,0.0
card_TOY_644,0.0
card_MIS_710,0.0
card_TSC_641,0.0
card_GDB_874,0.0
card_VAC_436,0.0
card_RLK_708,0.0
card_RLK_224,0.0
card_END_001,0.0
card_SCH_311,0.0
card_VAC_946,0.0
card_CORE_SW_068,0.0
card_GDB_456,0.0
card_RLK_707,0.0
card_CORE_RLK_118,0.0
card_CORE_EX1_302,0.0
card_NX2_014,0.0
card_ETC_107,0.0
card_YOG_411,0.0
card_VAC_523,0.0
card_FIR_919,0.0
card_TOY_800,0.0
card_VAC_518,0.0
card_CORE_CS2_012,0.0
card_VAC_949,0.0
card_SC_764,0.0
card_TOY_879,0.0
card_GDB_902,0.0
card_CORE_REV_019,0.0
card_CORE_REV_021,0.0
card_ETC_207,0.0
card_RLK_958,0.0
card_TOY_519,0.0
card_DINO_408,0.0
card_SC_752,0.0
card_END_000,0.0
card_END_036,0.0
card_CORE_SW_072,0.0
card_TLC_451,0.0
card_EDR_253,0.0
card_YOP_031,0.0
card_RLK_833,0.0
card_TIME_059,0.0
card_DINO_411,0.0
card_TLC_226,0.0
card_END_022,0.0
card_TOY_375,0.0
card_TSC_926,0.0
card_VAC_336,0.0
card_RLK_744,0.0
card_TOY_882,0.0
card_SC_759,0.0
card_TLC_364,0.0
card_GDB_145,0.0
card_TOY_883,0.0
card_TTN_908,0.0
card_VAC_438,0.0
card_GDB_100,0.0
card_WW_424,0.0
card_CORE_CS2_028,0.0
card_RLK_543,0.0
card_SW_070,0.0
card_RLK_218,0.0
card_SC_412,0.0
card_WW_344,0.0
card_DINO_433,0.0
card_SC_406,0.0
card_TOY_807,0.0
card_GDB_857,0.0
card_NX2_050,0.0
card_RLK_060,0.0
card_GDB_861,0.0
card_TLC_EVENT_402,0.0
card_CORE_EX1_050,0.0
card_TIME_023,0.0
card_GDB_720,0.0
card_GVG_075,0.0
card_GDB_333,0.0
card_TTN_039,0.0
card_TIME_715,0.0
card_DMF_062,0.0
card_CORE_RLK_035,0.0
card_EDR_814,0.0
card_EDR_817,0.0
card_CORE_WON_142,0.0
card_END_007,0.0
card_GDB_461,0.0
card_WORK_041,0.0
card_CORE_KAR_061,0.0
card_EDR_891,0.0
card_ETC_742,0.0
card_TIME_034,0.0
card_TOY_851,0.0
card_GDB_722,0.0
card_WW_336,0.0
card_TTN_712,0.0
card_GDB_851,0.0
card_TIME_701,0.0
card_CORE_BOT_548,0.0
card_CORE_DMF_067,0.0
